CustomerID,ReferrerID,PointsBalance,ExpiryDate,TelegramUserID,VerificationCode,Admin ผู้สร้าง,ReferralCount,ActiveCampaign
OT1044,,0,03/10/2025,,,JK,,
OT1047,,0,03/10/2025,,,T,,
OT1048,,0,03/10/2025,,,T,,
OT1062,,0,04/10/2025,7121911763,,T,,
OT1064,,0,04/10/2025,5977483166,,T,,
OT1066,,0,04/10/2025,5667630884,,T,,
OT1067,,0,04/10/2025,,,JK,,
OT1022,,0,04/10/2025,,,T,,
OT1070,,0,04/10/2025,,,T,,
OT1071,,0,04/10/2025,,,JK,,
OT185,,0,04/10/2025,,,T,,
OT1072,,0,04/10/2025,,,T,,
OT1080,,0,04/10/2025,,,JK,,
OT1084,,0,11/10/2025,,,T,1,Nov 2025 Campaign
OT1085,,0,11/10/2025,7663982961,,T,,
OT87,,0,04/10/2025,,,T,,
OT1087,,0,04/10/2025,,,Telegran,,
OT376,,0,04/10/2025,,,JK,,
OT1088,,0,04/10/2025,6487294645,,Telegran,,
OT147,,0,11/10/2025,7285923785,,Kethie246,,
OT1089,,0,04/10/2025,5654775678,,Telegran,,
OT145,,0,04/10/2025,,,Telegran,,
OT987,,100,29/11/2025,,,AA,1,Nov 2025 Campaign
OT1090,,0,04/10/2025,,,Kethie246,,
OT1091,,0,04/10/2025,,,Kethie246,,
OT1092,,0,04/10/2025,,,Kethie246,,
OT1093,,0,05/10/2025,,,Kethie246,,
OT1094,,0,05/10/2025,,,Kethie246,,
OT1095,,0,05/10/2025,,,Kethie246,,
OT237,,0,05/10/2025,,,Kethie246,,
OT594,,0,05/10/2025,,,AA,,
OT1096,,0,05/10/2025,,,TR,,
OT1097,,0,05/10/2025,,,KR,,
OT1098,,0,05/10/2025,,,TR,,
OT1100,,0,12/10/2025,7171626690,,JK,,
OT1101,,0,05/10/2025,,,Telegran,,
OT1102,,0,12/10/2025,5423512961,,JK,,
OT1103,,0,05/10/2025,,,KR,,
OT1105,,0,05/10/2025,,,AA,,
OT318,,0,05/10/2025,,,JK,,
OT486,,0,05/10/2025,,,AA,,
OT192,,0,05/10/2025,,,T,,
OT1106,,0,12/10/2025,5088290022,,KR,,
OT1108,,0,12/10/2025,1382937447,,Telegran,,
OT1109,,0,12/10/2025,7956357775,,T,,
OT1110,,0,05/10/2025,,,Telegran,,
OT1107,,0,05/10/2025,,,P,,
OT1112,,0,05/10/2025,,,Telegran,,
OT1111,,0,12/10/2025,,,KR,,
OT1114,,0,05/10/2025,,,KR,,
OT1115,,0,12/10/2025,5678710946,,P,,
OT411,,0,26/10/2025,8374727232,,P,,
OT1117,OT411,0,05/10/2025,,,Telegran,,
OT1118,,0,05/10/2025,,,P,,
OT1119,,0,12/10/2025,1406389094,,KR,,
OT1121,,0,12/10/2025,7815228985,,T,,
OT1123,,0,12/10/2025,7467927723,,JK,,
OT1124,,0,12/10/2025,6121815009,,KR,,
OT1125,,0,05/10/2025,,,KR,,
OT555,,0,12/10/2025,8340489701,,KR,,
OT163,,0,05/10/2025,,,T,,
OT1127,,0,05/10/2025,,,P,,
OT1129,,0,12/10/2025,6030321634,,TR,,
OT1130,,0,05/10/2025,,5337,KR,,
OT256,,0,05/10/2025,,4962,P,,
OT1133,,0,05/10/2025,,1345,g.,,
OT1116,,0,05/10/2025,,8291,g.,,
OT1104,,0,05/10/2025,,9315,g.,,
OT1131,,0,05/10/2025,,9976,Kethie246,,
OT1132,,0,12/10/2025,6970619045,,Kethie246,,
OT1134,,0,12/10/2025,6261928675,,g.,,
OT1113,,0,05/10/2025,,1109,g.,,
OT1099,,0,05/10/2025,,7873,g.,,
OT1135,,0,12/10/2025,8233393601,,Kethie246,,
OT1136,,0,05/10/2025,,3252,Kethie246,,
OT270,,0,06/10/2025,,2922,KR,,
OT1137,,0,06/10/2025,,6284,KR,,
OT1138,,0,27/10/2025,8479811470,,TR,,
OT1139,,0,13/10/2025,7666207070,,AA,,
OT552,,0,06/10/2025,,9687,JK,,
OT1140,,0,20/10/2025,6581869849,,T,,
OT1141,,0,22/11/2025,5801032133,,Telegran,1,Nov 2025 Campaign
OT280,,0,13/10/2025,8215675502,,P,,
OT1142,,0,06/10/2025,,7884,JK,,
OT1021,,0,06/10/2025,,5369,JK,,
OT1143,,0,20/10/2025,6205446630,,JK,,
OT1144,,0,06/10/2025,,3732,g.,,
OT1145,,0,13/10/2025,8382746515,,KR,,
OT1146,,0,13/10/2025,6520045830,,g.,,
OT1147,,0,06/10/2025,,8419,KR,,
OT124,,0,06/10/2025,,8794,T,,
OT1148,,0,13/10/2025,7165474690,,Telegran,,
OT1149,,0,06/10/2025,,7715,T,,
OT1150,,0,06/10/2025,,2145,T,,
OT1151,,0,06/10/2025,,5999,KR,,
OT1152,OT1138,0,13/10/2025,8243602113,,Telegran,,
OT1153,,0,20/10/2025,8419355982,,KR,,
OT1154,,0,13/10/2025,8436886601,,T,,
OT1155,,0,06/10/2025,,9004,Telegran,,
OT1156,OT1153,0,13/10/2025,8329262252,,Telegran,,
OT1157,,0,06/10/2025,,7147,g.,,
OT401,,0,16/11/2025,6629222653,,g.,1,Nov 2025 Campaign
OT1158,,0,06/10/2025,,1060,JK,,
OT1160,,0,13/10/2025,7317536905,,g.,,
OT1159,,0,06/10/2025,,7038,T,,
OT268,,0,06/10/2025,,7075,Telegran,,
OT1161,,0,06/10/2025,,2001,T,,
OT1162,,0,13/10/2025,6944118512,,Kethie246,,
OT1163,,0,06/10/2025,,9956,JK,,
OT622,,0,06/10/2025,,9310,JK,,
OT178,,0,22/11/2025,,9099,JK,1,Nov 2025 Campaign
OT1164,,0,06/10/2025,,8254,g.,,
OT770,,0,13/10/2025,6031806433,,Kethie246,,
OT649,,0,06/10/2025,,1063,Kethie246,,
OT1165,,0,07/10/2025,,4026,Kethie246,,
OT1166,,0,07/10/2025,,4431,Kethie246,,
OT1167,,0,07/10/2025,,5929,Kethie246,,
OT1169,,0,07/10/2025,,2453,KR,,
OT1170,,0,07/10/2025,,1120,KR,,
OT83,,0,07/10/2025,,6214,T,,
OT281,,0,14/10/2025,7901444948,,JK,,
OT1172,,0,07/10/2025,,8468,T,,
OT306,,0,14/10/2025,8272075796,,AA,,
OT1173,,0,14/10/2025,6270323875,,T,,
OT1175,,0,07/10/2025,,6299,AA,,
OT1174,,0,07/10/2025,,6116,AA,,
OT369,,0,14/10/2025,8288237210,,TR,,
OT1176,,0,14/10/2025,7545528293,,JK,,
OT1177,,0,14/10/2025,5473864990,,P,,
OT1178,,0,14/10/2025,5441951616,,Telegran,,
OT1179,,0,07/10/2025,,8526,g.,,
OT1180,,0,21/10/2025,6328252431,,AA,1,Nov 2025 Campaign
OT1181,,0,14/10/2025,8305968007,,AA,,
OT1182,,0,07/10/2025,,9569,g.,,
OT1183,,0,07/10/2025,,8282,T,,
OT498,,0,14/10/2025,7888019021,,T,,
OT1184,,0,14/10/2025,8446601369,,Telegran,,
OT1186,,0,07/10/2025,,7864,P,,
OT161,,0,14/10/2025,7837502648,,T,,
OT1185,,0,07/10/2025,,6744,JK,,
OT1187,,0,07/10/2025,,8419,T,,
OT1188,,0,07/10/2025,,7161,Telegran,,
OT1189,,0,07/10/2025,,5519,TR,,
OT867,,0,07/10/2025,,7726,TR,,
OT1190,,0,07/10/2025,,8697,T,,
OT1191,,0,07/10/2025,,6291,T,,
OT1192,,0,07/10/2025,,6575,g.,,
OT1193,,0,07/10/2025,,7101,T,,
OT1194,,0,07/10/2025,,2940,g.,,
OT1195,,0,14/10/2025,8482236789,,g.,,
OT1196,,0,07/10/2025,,2006,T,,
OT1197,,0,07/10/2025,,8950,T,,
OT1198,,0,07/10/2025,,3902,Kethie246,,
OT1199,,0,21/10/2025,1892471634,,Kethie246,,
OT1200,,0,08/10/2025,,2242,Kethie246,,
OT285,,0,22/10/2025,6344546062,,Kethie246,1,Nov 2025 Campaign
OT1201,,0,15/10/2025,7647175769,,Kethie246,,
OT1202,,0,15/10/2025,6130530712,,Kethie246,,
OT363,,0,15/10/2025,,5681,KR,,
OT858,,0,08/10/2025,,6584,KR,,
OT1203,,0,15/10/2025,1931078254,,KR,,
OT1015,,0,08/10/2025,,4820,KR,,
OT1204,,0,15/10/2025,1882299999,,g.,,
OT1205,,0,08/10/2025,,4809,KR,,
OT239,,0,08/10/2025,,7078,KR,,
OT310,,0,08/10/2025,,5792,g.,,
OT1206,,0,15/10/2025,,6648,AA,1,Nov 2025 Campaign
OT378,,0,08/10/2025,,2234,T,,
OT658,,0,08/10/2025,,1759,Telegran,,
OT35,,0,08/10/2025,,2279,JK,,
OT1208,,0,08/10/2025,,2381,JK,,
OT1207,,0,08/10/2025,,4132,AA,,
OT1209,,0,08/10/2025,,8417,T,,
OT1210,,0,08/10/2025,,8480,T,,
OT1212,,0,08/10/2025,,8469,JK,,
OT1211,,0,08/10/2025,,6392,AA,,
OT356,,0,08/10/2025,,7110,T,,
OT1213,,100,01/12/2025,5992910518,,g.,1,Nov 2025 Campaign
OT1214,,0,08/10/2025,,5344,g.,,
OT1215,,0,08/10/2025,,3837,g.,,
OT10,,0,15/10/2025,1960575152,,KR,,
OT77,,0,15/10/2025,8307748370,,KR,,
OT1216,,0,22/10/2025,6467883273,,Telegran,,
OT1217,,0,08/10/2025,,1353,KR,,
OT1218,,0,08/10/2025,,4927,T,,
OT1219,,100,02/12/2025,,1637,JK,1,Nov 2025 Campaign
OT1220,,0,15/10/2025,8318315027,,JK,,
OT1221,,0,08/10/2025,,8862,JK,,
OT1222,,0,08/10/2025,,8188,T,,
OT1224,,0,15/10/2025,6288930412,,KR,,
OT1223,OT1216,0,22/10/2025,6586235127,,JK,,
OT1225,,0,15/10/2025,5494934034,,g.,,
OT1226,,0,08/10/2025,,9625,TR,,
OT1227,,0,15/10/2025,6911981179,,g.,,
OT1228,,0,15/10/2025,8326006006,,AA,,
OT142,,0,15/10/2025,8225026253,,JK,,
OT1229,,0,08/10/2025,,8671,AA,,
OT885,,0,15/10/2025,7608501119,,T,,
OT1230,,0,15/10/2025,6165950138,,JK,,
OT168,,0,22/10/2025,6023262004,,TR,,
OT1231,,0,08/10/2025,,5780,Telegran,,
OT1232,,0,22/10/2025,8454038028,,TR,,
OT1233,,0,15/10/2025,8288930949,,TR,,
OT1234,,0,08/10/2025,,4831,Telegran,,
OT1236,,0,08/10/2025,,1395,T,,
OT1235,,0,08/10/2025,,4779,P,,
OT1237,,0,08/10/2025,,7049,Kethie246,,
OT1238,,0,08/10/2025,,9596,P,,
OT1239,,0,08/10/2025,,9224,g.,,
OT1240,,0,08/10/2025,,9605,Kethie246,,
OT1241,,0,09/10/2025,,8861,Kethie246,,
OT1242,,0,09/10/2025,,9102,Kethie246,,
OT295,,0,16/10/2025,6115768195,,Kethie246,,
OT558,,0,09/10/2025,,6563,Kethie246,,
OT1243,,0,09/10/2025,,1090,TR,,
OT1244,,0,16/10/2025,5301712826,,TR,,
OT1246,,0,09/10/2025,,1090,TR,,
OT1247,,0,09/10/2025,,4230,KR,,
OT1248,,0,09/10/2025,,3460,TR,,
OT58,,0,09/10/2025,,9024,TR,,
OT41,,0,09/10/2025,,2193,TR,,
OT1249,,0,16/10/2025,5803067039,,KR,,
OT235,,0,09/10/2025,,4997,TR,,
OT1250,,0,16/10/2025,5612536435,,g.,,
OT1251,,0,16/10/2025,8267733483,,g.,,
OT1252,,0,16/10/2025,7492492811,,g.,,
OT1253,,0,16/10/2025,6277777691,,T,,
OT1254,,0,16/10/2025,8056017800,,Telegran,,
OT1255,,0,16/10/2025,2037669497,,T,,
OT604,,0,16/10/2025,5927160785,,Telegran,,
OT348,,0,09/10/2025,,6745,TR,,
OT1256,,0,16/10/2025,8055409864,,P,,
OT1257,,0,09/10/2025,,6137,JK,,
OT1258,,0,16/10/2025,8026699338,,TR,,
OT1259,,0,16/10/2025,5812310774,,P,,
OT1260,,0,09/10/2025,,6721,T,,
OT1261,,0,09/10/2025,,9009,AA,,
OT1262,,0,09/10/2025,,7563,AA,,
OT1263,,0,09/10/2025,,2676,Telegran,,
OT78,,0,16/10/2025,,1978,P,,
OT1264,,0,16/10/2025,1140067167,,T,,
OT1265,,0,09/10/2025,,1379,Telegran,,
OT1266,,0,09/10/2025,,5252,P,,
OT1267,,0,16/10/2025,6209210122,,AA,,
OT733,,0,09/10/2025,,9571,KR,,
OT1268,,0,16/10/2025,7548153281,,T,,
OT1269,,0,09/10/2025,,9997,AA,,
OT1270,,0,16/10/2025,7918725787,,KR,,
OT961,,0,09/10/2025,,9739,KR,,
OT1271,,0,09/10/2025,,7289,JK,,
OT1272,,0,16/10/2025,5471928268,,T,,
OT1273,,0,16/10/2025,962421125,,g.,,
OT1274,,0,09/10/2025,,5546,KR,,
OT319,,0,09/10/2025,,7083,g.,,
OT520,,0,16/10/2025,7825619005,,Telegran,,
OT1276,,0,23/10/2025,6115627878,,JK,1,Nov 2025 Campaign
OT1275,,0,09/10/2025,,4943,T,,
OT1277,,0,16/10/2025,1189036571,,AA,,
OT1278,,0,09/10/2025,,5235,Telegran,,
OT1280,,0,09/10/2025,,6689,Telegran,,
OT1281,,0,16/10/2025,5004253511,,Telegran,,
OT1282,,100,01/12/2025,5630005087,,Telegran,1,Nov 2025 Campaign
OT1279,,0,09/10/2025,,6950,P,,
OT1283,,0,09/10/2025,,3774,T,,
OT1284,,0,09/10/2025,,2493,KR,,
OT626,,0,16/10/2025,5863297355,,JK,,
OT1285,,0,09/10/2025,,8687,P,,
OT1286,,0,09/10/2025,,8637,Telegran,,
OT1287,,0,09/10/2025,,3587,T,,
OT582,,0,16/10/2025,6673910882,,Kethie246,,
OT1009,,0,16/10/2025,7702292848,,P,,
OT1288,,0,09/10/2025,,7971,Kethie246,,
OT265,,0,09/10/2025,,3225,P,,
OT1289,,0,10/10/2025,,5865,Kethie246,,
OT741,,0,17/10/2025,7501952839,,Kethie246,,
OT883,,0,17/10/2025,7939538161,,KR,,
OT1290,,0,24/10/2025,7355374587,,KR,,
OT1291,,0,24/10/2025,7595966839,,KR,,
OT571,,0,24/10/2025,7936890723,,P,1,Nov 2025 Campaign
OT1292,,0,17/10/2025,6156292177,,KR,,
OT317,,0,17/10/2025,6473179230,,TR,,
OT1293,,0,17/10/2025,6922489822,,P,,
OT1294,,0,10/10/2025,,3301,KR,,
OT689,,0,10/10/2025,,8613,JK,,
OT1295,,0,10/10/2025,,9886,JK,,
OT1296,,0,10/10/2025,,1586,JK,,
OT1297,,0,17/10/2025,8313997548,,T,,
OT1063,,0,17/10/2025,8228636288,,AA,,
OT1299,,0,17/10/2025,6041893090,,g.,,
OT1298,,0,17/10/2025,6744510421,,P,,
OT1301,,0,17/10/2025,6073796653,,AA,,
OT1300,,0,10/10/2025,,5582,T,,
OT746,,0,10/10/2025,,1228,g.,,
OT1302,,100,02/12/2025,6578843847,,JK,1,Nov 2025 Campaign
OT1304,,0,10/10/2025,,6275,AA,,
OT1303,,0,10/10/2025,,2657,T,,
OT793,,0,17/10/2025,,3030,T,,
OT259,,0,10/10/2025,,2374,KR,,
OT407,,0,17/10/2025,6213095348,,g.,,
OT1305,,0,10/10/2025,,7698,g.,,
OT1306,,0,10/10/2025,,2264,AA,,
OT1307,,0,10/10/2025,,1740,P,,
OT1309,,0,10/10/2025,,5171,AA,,
OT304,,0,17/10/2025,7634380834,,g.,,
OT427,,0,17/10/2025,,5746,AA,,
OT1310,,0,10/10/2025,,7584,JK,,
OT1311,,0,10/10/2025,,6975,g.,,
OT1312,,100,01/12/2025,,5370,AA,1,Nov 2025 Campaign
OT1313,,0,17/10/2025,6137223017,,g.,,
OT1314,,0,17/10/2025,5843629838,,AA,,
OT1315,,0,10/10/2025,,7515,AA,,
OT1317,,0,10/10/2025,,3653,g.,,
OT1318,,0,10/10/2025,,5672,g.,,
OT1316,,0,15/11/2025,7708283575,,JK,1,Nov 2025 Campaign
OT1320,,0,10/10/2025,,6654,g.,,
OT1321,,100,27/11/2025,1787396656,,AA,1,Nov 2025 Campaign
OT373,,0,10/10/2025,,7470,JK,,
OT1322,,0,17/10/2025,8326841746,,g.,,
OT1323,,0,10/10/2025,,9516,g.,,
OT1324,,0,17/10/2025,5754569009,,JK,,
OT1325,,0,10/10/2025,,1737,JK,,
OT1326,,0,17/10/2025,8415504593,,KR,,
OT1308,,0,24/10/2025,6803737065,,g.,,
OT1319,OT1308,0,24/10/2025,6017875411,,g.,,
OT1327,,0,10/10/2025,,2287,g.,,
OT1328,,0,10/10/2025,,8112,g.,,
OT548,,0,17/10/2025,7726075415,,TR,,
OT1329,,0,17/10/2025,8422881858,,Telegran,,
OT849,,0,17/10/2025,7752641104,,g.,,
OT1330,,0,17/10/2025,5844913995,,TR,,
OT1331,,0,10/10/2025,,3615,g.,,
OT1332,,0,17/10/2025,8358274056,,KR,,
OT692,,0,10/10/2025,,5285,JK,,
OT1333,,0,17/10/2025,8352968706,,Kethie246,,
OT1334,,0,17/10/2025,5969215180,,Kethie246,,
OT1335,,0,17/10/2025,,7508,AA,,
OT205,,0,17/10/2025,5872460568,,Kethie246,,
OT1336,,0,17/10/2025,1299171448,,Kethie246,,
OT1337,,0,10/10/2025,,9465,Kethie246,,
OT1339,,0,11/10/2025,,6597,Kethie246,,
OT1340,,0,11/10/2025,,6666,Kethie246,,
OT1341,,0,18/10/2025,8207177416,,Kethie246,,
OT423,,0,11/10/2025,,5822,TR,,
OT464,,0,11/10/2025,,4019,KR,,
OT116,,0,11/10/2025,,4955,g.,,
OT225,,0,18/10/2025,,9119,KR,,
OT1342,,0,11/10/2025,,6974,P,,
OT129,,0,18/10/2025,6392209366,,P,,
OT1343,,0,11/10/2025,,8868,T,,
OT1344,,0,18/10/2025,8422355849,,g.,,
OT1345,,0,18/10/2025,6552664548,,g.,,
OT778,,0,11/10/2025,,9294,T,,
OT1347,,0,11/10/2025,,1018,g.,,
OT1346,,0,11/10/2025,,4043,TR,,
OT1348,,0,11/10/2025,,2675,T,,
OT1349,,0,18/10/2025,8011582049,,AA,,
OT589,,0,11/10/2025,,9075,g.,,
OT662,,0,18/10/2025,8167338187,,AA,,
OT1350,,0,11/10/2025,,3398,TR,,
OT1351,,0,11/10/2025,,6595,g.,,
OT794,,0,11/10/2025,,7048,P,,
OT1353,OT1319,0,11/10/2025,,4143,g.,,
OT1352,,0,11/10/2025,,7834,T,,
OT671,,0,11/10/2025,,4570,g.,,
OT440,,0,11/10/2025,,9087,P,,
OT154,,0,11/10/2025,,9805,Telegran,,
OT1354,,0,18/10/2025,8423628896,,Telegran,,
OT1355,,0,11/10/2025,,8308,g.,,
OT1356,,0,11/10/2025,,7895,g.,,
OT1357,,0,11/10/2025,,3282,Telegran,,
OT387,,0,11/10/2025,,5284,TR,,
OT1358,,0,18/10/2025,8014346739,,T,,
OT678,,0,11/10/2025,,4080,AA,,
OT605,,0,18/10/2025,8418763548,,AA,,
OT1359,,0,18/10/2025,7309967184,,AA,,
OT1360,,0,11/10/2025,,2189,JK,,
OT1361,,0,11/10/2025,,5508,T,,
OT114,,0,18/10/2025,8497159638,,KR,,
OT517,,0,11/10/2025,,8435,Telegran,,
OT100,,0,11/10/2025,,1561,T,,
OT1362,,0,18/10/2025,1799236015,,g.,,
OT1363,OT1223,0,25/10/2025,1424078783,,Telegran,,
OT1364,,0,18/10/2025,6037470013,,KR,,
OT1365,,0,18/10/2025,5799463531,,TR,,
OT587,,0,11/10/2025,,2004,KR,,
OT1366,,0,18/10/2025,8420824015,,Telegran,,
OT1367,,0,11/10/2025,,7989,KR,,
OT1368,,0,18/10/2025,6211350235,,g.,,
OT642,,0,11/10/2025,,9654,P,,
OT628,,0,11/10/2025,,1756,T,,
OT1369,,0,11/10/2025,,1392,g.,,
OT80,,100,03/12/2025,,3386,Kethie246,1,Nov 2025 Campaign
OT1370,,0,19/10/2025,8183807551,,Kethie246,,
OT1371,,0,19/10/2025,8081706357,,Kethie246,,
OT1372,,0,12/10/2025,,4569,Kethie246,,
OT1373,,0,12/10/2025,,1041,Kethie246,,
OT654,,0,12/10/2025,,8792,TR,,
