Date,Invitee_ID,Admin_Closer,Inviter_ID,Admin_Recommender
"5/9/2025, 14:32:15",OT1117,Telegran,OT411,P
"6/9/2025, 17:55:18",OT1152,Telegran,OT1138,TR
"6/9/2025, 18:38:33",OT1156,Telegran,OT1153,KR
"8/9/2025, 16:03:42",OT1223,JK,OT1216,Telegran
"10/9/2025, 18:17:55",OT1319,g.,OT1308,g.
"11/9/2025, 12:18:24",OT1353,g.,OT1319,g.
"11/9/2025, 16:26:59",OT1363,Telegran,OT1223,JK
"15/9/2025, 13:11:32",OT1472,KR,OT1471,g.
"16/9/2025, 11:50:01",OT1508,g.,OT1291,KR
"19/9/2025, 16:19:47",OT1662,g.,OT1455,g.
"20/9/2025, 0:10:01",OT1672,Kethie246,OT233,g.
"20/9/2025, 20:08:52",OT1699,g.,OT446,g.
"23/9/2025, 23:06:39",OT1825,Kethie246,OT1786,Kethie246
"24/9/2025, 17:55:09",OT1849,T,OT1616,AA
"24/9/2025, 21:42:26",OT1858,JK,OT465,Kethie246
"24/9/2025, 23:25:28",OT1864,Kethie246,OT1863,Kethie246
"24/9/2025, 23:58:03",OT1865,Kethie246,OT225,KR
"25/9/2025, 11:46:04",OT1871,แอดกิ๊ก,OT427,AA
"25/9/2025, 13:36:05",OT1885,P,OT1883,แอดกิ๊ก
"26/9/2025, 0:47:17",OT1905,Kethie246,OT1729,g.
"26/9/2025, 11:23:29",OT1908,KR,OT111,KR
"26/9/2025, 14:19:01",OT1912,KR,OT1812,AA
"26/9/2025, 15:30:54",OT1915,T,OT1855,JK
"26/9/2025, 18:50:45",OT1922,KR,OT1385,JK
"27/9/2025, 12:07:41",OT1940,T,OT411,P
"27/9/2025, 17:03:06",OT1949,N,OT168,TR
"27/9/2025, 18:25:02",OT1952,KR,OT1111,KR
"27/9/2025, 19:01:26",OT1954,KR,OT1335,AA
"27/9/2025, 21:52:01",OT1956,T,OT1290,KR
"28/9/2025, 10:31:01",OT1967,KR,OT1815,g.
"28/9/2025, 16:28:20",OT1981,N,OT1140,T
"28/9/2025, 20:57:27",OT1990,Kethie246,OT1460,g.
"29/9/2025, 9:37:03",OT1999,แอดกิ๊ก,OT1687,g.
"29/9/2025, 12:43:10",OT2006,JK,OT1714,JK
"29/9/2025, 13:42:25",OT2009,แอดกิ๊ก,OT9,KR
"29/9/2025, 15:23:50",OT2016,แอดกิ๊ก,OT1761,P
"29/9/2025, 15:50:48",OT2020,แอดกิ๊ก,OT1656,AA
"29/9/2025, 16:01:15",OT2015,KR,OT465,Kethie246
"29/9/2025, 17:42:56",OT2024,g.,OT1914,T
"30/9/2025, 19:22:43",OT2080,แอดกิ๊ก,OT439,g.
"1/10/2025, 2:02:44",OT2094,Kethie246,OT1729,g.
"1/10/2025, 9:49:30",OT2097,แอดกิ๊ก,OT1232,TR
"1/10/2025, 10:45:54",OT2100,AA,OT2010,KR
"1/10/2025, 10:53:45",OT2056,P,OT480,P
"1/10/2025, 12:59:09",OT2115,KR,OT1138,TR
"1/10/2025, 17:32:58",OT2129,N,OT233,g.
"1/10/2025, 19:58:14",OT2139,KR,OT2138,KR
"1/10/2025, 20:35:45",OT2141,Kethie246,OT324,KR
"2/10/2025, 11:34:43",OT2158,แอดกิ๊ก,OT917,แอดกิ๊ก
"2/10/2025, 16:02:53",OT2174,g.,OT914,g.
"2/10/2025, 20:27:07",OT2185,T,OT2108,g.
"5/10/2025, 17:49:14",OT2254,JK,OT2079,KR
"6/10/2025, 10:22:02",OT2261,KR,OT973,KR
"6/10/2025, 18:22:37",OT2271,P,OT1282,Telegran
"7/10/2025, 14:41:14",OT2286,g.,OT1883,แอดกิ๊ก
